"Statistic Label","Year","Item","UNIT","VALUE"
"Modified Gross National Income at Constant Market Prices","1995","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","108935"
"Modified Gross National Income at Constant Market Prices","1995","Total adjustments","Euro Million","-26"
"Modified Gross National Income at Constant Market Prices","1995","Modified gross national income (GNI*) at constant market prices","Euro Million","115979"
"Modified Gross National Income at Constant Market Prices","1996","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","117326"
"Modified Gross National Income at Constant Market Prices","1996","Total adjustments","Euro Million","-79"
"Modified Gross National Income at Constant Market Prices","1996","Modified gross national income (GNI*) at constant market prices","Euro Million","124843"
"Modified Gross National Income at Constant Market Prices","1997","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","127799"
"Modified Gross National Income at Constant Market Prices","1997","Total adjustments","Euro Million","-135"
"Modified Gross National Income at Constant Market Prices","1997","Modified gross national income (GNI*) at constant market prices","Euro Million","135920"
"Modified Gross National Income at Constant Market Prices","1998","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","137171"
"Modified Gross National Income at Constant Market Prices","1998","Total adjustments","Euro Million","-209"
"Modified Gross National Income at Constant Market Prices","1998","Modified gross national income (GNI*) at constant market prices","Euro Million","145801"
"Modified Gross National Income at Constant Market Prices","1999","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","147827"
"Modified Gross National Income at Constant Market Prices","1999","Total adjustments","Euro Million","-313"
"Modified Gross National Income at Constant Market Prices","1999","Modified gross national income (GNI*) at constant market prices","Euro Million","157013"
"Modified Gross National Income at Constant Market Prices","2000","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","161048"
"Modified Gross National Income at Constant Market Prices","2000","Total adjustments","Euro Million","-484"
"Modified Gross National Income at Constant Market Prices","2000","Modified gross national income (GNI*) at constant market prices","Euro Million","170865"
"Modified Gross National Income at Constant Market Prices","2001","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","163750"
"Modified Gross National Income at Constant Market Prices","2001","Total adjustments","Euro Million","-863"
"Modified Gross National Income at Constant Market Prices","2001","Modified gross national income (GNI*) at constant market prices","Euro Million","173233"
"Modified Gross National Income at Constant Market Prices","2002","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","168089"
"Modified Gross National Income at Constant Market Prices","2002","Total adjustments","Euro Million","-1576"
"Modified Gross National Income at Constant Market Prices","2002","Modified gross national income (GNI*) at constant market prices","Euro Million","176934"
"Modified Gross National Income at Constant Market Prices","2003","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","175749"
"Modified Gross National Income at Constant Market Prices","2003","Total adjustments","Euro Million","-2281"
"Modified Gross National Income at Constant Market Prices","2003","Modified gross national income (GNI*) at constant market prices","Euro Million","184243"
"Modified Gross National Income at Constant Market Prices","2004","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","187837"
"Modified Gross National Income at Constant Market Prices","2004","Total adjustments","Euro Million","-2883"
"Modified Gross National Income at Constant Market Prices","2004","Modified gross national income (GNI*) at constant market prices","Euro Million","196401"
"Modified Gross National Income at Constant Market Prices","2005","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","198407"
"Modified Gross National Income at Constant Market Prices","2005","Total adjustments","Euro Million","-4051"
"Modified Gross National Income at Constant Market Prices","2005","Modified gross national income (GNI*) at constant market prices","Euro Million","206256"
"Modified Gross National Income at Constant Market Prices","2006","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","208767"
"Modified Gross National Income at Constant Market Prices","2006","Total adjustments","Euro Million","-5166"
"Modified Gross National Income at Constant Market Prices","2006","Modified gross national income (GNI*) at constant market prices","Euro Million","215954"
"Modified Gross National Income at Constant Market Prices","2007","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","216250"
"Modified Gross National Income at Constant Market Prices","2007","Total adjustments","Euro Million","-5660"
"Modified Gross National Income at Constant Market Prices","2007","Modified gross national income (GNI*) at constant market prices","Euro Million","223340"
"Modified Gross National Income at Constant Market Prices","2008","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","207846"
"Modified Gross National Income at Constant Market Prices","2008","Total adjustments","Euro Million","-6206"
"Modified Gross National Income at Constant Market Prices","2008","Modified gross national income (GNI*) at constant market prices","Euro Million","213756"
"Modified Gross National Income at Constant Market Prices","2009","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","190609"
"Modified Gross National Income at Constant Market Prices","2009","Total adjustments","Euro Million","-8085"
"Modified Gross National Income at Constant Market Prices","2009","Modified gross national income (GNI*) at constant market prices","Euro Million","193026"
"Modified Gross National Income at Constant Market Prices","2010","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","197153"
"Modified Gross National Income at Constant Market Prices","2010","Total adjustments","Euro Million","-13100"
"Modified Gross National Income at Constant Market Prices","2010","Modified gross national income (GNI*) at constant market prices","Euro Million","193455"
"Modified Gross National Income at Constant Market Prices","2011","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","193272"
"Modified Gross National Income at Constant Market Prices","2011","Total adjustments","Euro Million","-13924"
"Modified Gross National Income at Constant Market Prices","2011","Modified gross national income (GNI*) at constant market prices","Euro Million","188212"
"Modified Gross National Income at Constant Market Prices","2012","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","191681"
"Modified Gross National Income at Constant Market Prices","2012","Total adjustments","Euro Million","-16326"
"Modified Gross National Income at Constant Market Prices","2012","Modified gross national income (GNI*) at constant market prices","Euro Million","183453"
"Modified Gross National Income at Constant Market Prices","2013","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","202825"
