STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base year,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2024,,25677.913,,P,Provisional value,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2023,,24204.475,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2022,,21618.46,,B,Time series break,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2021,,19751.581,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2020,,18494,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2019,,17760,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2018,,16554,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2017,,16081,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2016,,15235,,,,,,,,,,,,6,Millions,,,0,Zero
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),XDC,National currency,V,Current prices,_Z,Not applicable,2015,,14808,,,,,,,,,,,,6,Millions,,,0,Zero
