"Mathematics performance (PISA)"
"Total, mean score, 2022"
"Category","Mathematics performance (PISA)"
"Singapore",574.6638196
"Macao (China)",551.9231531
"Chinese Taipei",547.0941644
"Hong Kong (China)*",540.3518012
"Japan",535.579306
"Korea",527.3025018
"Estonia",509.9469532
"Switzerland",507.9905864
"Canada*",496.9478944
"Netherlands*",492.675639
"Ireland*",491.6482796
"Belgium",489.4868167
"Denmark*",489.2738769
"United Kingdom*",488.9750851
"Poland",488.9600538
"Austria",487.267499
"Australia*",487.0842535
"Czech Republic",486.9992079
"Slovenia",484.5290086
"Finland",484.1392256
"Latvia*",483.1594552
"Sweden",481.7660654
"New Zealand*",479.0741935
"Lithuania",475.146762
"Germany",474.8264539
"France",473.9444184
"Spain",473.140208
"Hungary",472.7761224
"OECD average",472.3576499
"Portugal",471.9105221
"Italy",471.2594755
"Viet Nam",469.4024275
"Norway",468.4499499
"Malta",466.0161129
"United States*",464.888043
"Slovak Republic",463.9946185
"Croatia",463.1051894
"Iceland",458.8964498
"Israel",457.8966666
"Türkiye",453.1517674
"Brunei Darussalam",442.0931045
"Ukrainian regions (18 of 27)",440.8453089
"Serbia",439.8766667
"United Arab Emirates",431.1104766
"Greece",430.1463219
"Romania",427.7599967
"Kazakhstan",425.4391288
"Mongolia",424.5931285
"Bulgaria",417.3039004
"Moldova",414.1980632
"Qatar",414.1062218
"Chile",411.6965707
"Uruguay",408.7120664
"Malaysia",408.6874322
"Montenegro",405.6011733
"Baku (Azerbaijan)",396.8822929
"Mexico",395.0299192
"Thailand",393.9453559
"Peru",391.2357846
"Georgia",390.0242203
"Saudi Arabia",388.781607
"North Macedonia",388.5755068
"Costa Rica",384.5760411
"Colombia",382.6968351
"Brazil",378.6913669
"Argentina",377.5290286
"Jamaica*",377.4169392
"Albania",368.22172
"Palestinian Authority",365.7466764
"Indonesia",365.5252539
"Morocco",364.7662407
"Uzbekistan",363.9353747
"Jordan",361.2280284
"Panama*",356.5735039
"Kosovo",354.9624438
"Philippines",354.7197128
"Guatemala",344.1994881
"El Salvador",343.469101
"Dominican Republic",339.1072467
"Paraguay",337.5397504
"Cambodia",336.3960413
