"label","horizon","coef","se","ci90_lo","ci90_hi","n_obs"
"Full panel (N=29)",0,-0.05888,0.03289,-0.11298,-0.00477,683
"Full panel (N=29)",1,-0.06333,0.04222,-0.13278,0.00612,654
"Full panel (N=29)",2,-0.01673,0.03836,-0.07982,0.04637,625
"Full panel (N=29)",3,-0.0127,0.04323,-0.08381,0.0584,596
"Full panel (N=29)",4,-0.04453,0.04045,-0.11107,0.02202,567
"Full panel (N=29)",5,-0.05072,0.03806,-0.11333,0.01189,538
"Full panel (N=29)",6,-0.02771,0.03965,-0.09294,0.03752,509
"Full panel (N=29)",7,-0.02823,0.03477,-0.08543,0.02897,480
"Full panel (N=29)",8,-0.00492,0.03748,-0.06658,0.05674,451
"Close to frontier",0,-0.08478,0.0284,-0.1315,-0.03807,334
"Close to frontier",1,-0.12131,0.03878,-0.18511,-0.05751,318
"Close to frontier",2,-0.07517,0.03352,-0.1303,-0.02003,302
"Close to frontier",3,-0.06416,0.04997,-0.14636,0.01805,290
"Close to frontier",4,-0.08974,0.05207,-0.17539,-0.00408,277
"Close to frontier",5,-0.1015,0.05394,-0.19023,-0.01277,265
"Close to frontier",6,-0.12176,0.04225,-0.19126,-0.05226,251
"Close to frontier",7,-0.09375,0.0306,-0.14408,-0.04342,237
"Close to frontier",8,-0.07273,0.04589,-0.14822,0.00275,224
"Catch-up (far)",0,0.01955,0.03614,-0.0399,0.079,349
"Catch-up (far)",1,0.05303,0.04384,-0.01909,0.12515,336
"Catch-up (far)",2,0.07927,0.05689,-0.01431,0.17285,323
"Catch-up (far)",3,0.08139,0.0601,-0.01747,0.18025,306
"Catch-up (far)",4,0.02879,0.06473,-0.07768,0.13526,290
"Catch-up (far)",5,0.03696,0.05595,-0.05507,0.12899,273
"Catch-up (far)",6,0.05838,0.04909,-0.02238,0.13913,258
"Catch-up (far)",7,0.05325,0.05745,-0.04126,0.14776,241
"Catch-up (far)",8,0.09098,0.05171,0.00592,0.17605,226
