"country","cluster","cluster_k2","gerd_pct","ln_krd","dtf","wgi_composite","tertiary_25_64","savings"
"AT",1,1,2.6826,2.7281,0.563,24.8764,25.1174,0.2697
"BE",1,1,2.3733,2.6175,0.62,21.0992,35.2222,0.253
"BG",2,2,0.6193,1.2779,1.6248,2.7179,25.244,0.1963
"CH",1,1,2.7589,2.8179,0.0027,28.465,35.3037,0.3482
"CY",2,2,0.4667,0.8355,0.8569,15.3303,37.3808,0.1476
"CZ",2,2,1.5104,2.1537,0.966,14.7413,18.437,0.2612
"DE",1,1,2.7148,2.8014,0.5903,24.1109,27.3308,0.2598
"DK",1,1,2.7237,2.7909,0.5557,29.0927,34.8519,0.2769
"EE",2,2,1.3204,1.8965,1.2121,17.8503,35.6074,0.2495
"ES",2,2,1.2,1.9506,0.857,15.0671,31.9259,0.2169
"FI",1,1,3.1778,3.0064,0.6693,29.9842,38.5815,0.2557
"FR",1,1,2.1648,2.6303,0.7223,19.0924,30.8148,0.2228
"GR",2,2,0.8806,1.5338,1.0517,7.7805,25.637,0.118
"HR",2,2,0.9512,1.7635,1.2945,5.789,21.1043,0.2012
"HU",2,2,1.1526,1.8496,1.2245,11.4357,21.2074,0.2204
"IE",1,1,1.28,2.094,0.3361,24.109,39.1346,0.2749
"IS",1,1,2.3872,2.6965,0.5201,26.1076,35.1115,0.1759
"IT",2,2,1.2248,2.0021,0.7437,9.8745,15.3333,0.2064
"LT",2,2,0.8504,1.5707,1.2659,13.0562,35.7815,0.1864
"LU",1,1,1.3678,2.2374,0,27.8592,35.3923,0.2354
"LV",2,2,0.5974,1.2098,1.4198,11.2948,27.7963,0.2201
"MT",2,2,0.5348,1.0518,0.8928,17.8109,19.408,0.213
"NL",1,1,1.9441,2.4849,0.4918,27.3331,33.0852,0.2704
"NO",1,1,1.6961,2.3725,0.2733,28.2178,38.6185,0.3687
"PL",2,2,0.8907,1.5785,1.2824,11.128,23.4481,0.1822
"PT",2,2,1.2122,1.853,1.0229,17.2735,18.4333,0.1655
"SE",1,1,3.4181,3.0926,0.583,28.0665,36.2667,0.279
"SK",2,2,0.7278,1.499,1.2005,11.1593,18.663,0.2222
